direction, next, type, time, seconds spent
start, 1-1, b, 8/8/2016 12:41:59 PM, 1.07
down, 2-3, b, 8/8/2016 12:42:00 PM, 1.29
down, 3-4, b, 8/8/2016 12:42:02 PM, 2.00
left, 4-2, b, 8/8/2016 12:42:04 PM, 4.53
down, 4-1, v, 8/8/2016 12:42:08 PM, 5.58
left, 4-4, p, 8/8/2016 12:42:14 PM, 8.28
left, 5-2, v, 8/8/2016 12:42:22 PM, 37.43
right, 5-1, p, 8/8/2016 12:43:00 PM, 10.49
right, 5-4, t, 8/8/2016 12:43:10 PM, 0.60
right, 6-1, v, 8/8/2016 12:43:11 PM, 0.39
right, 6-4, b, 8/8/2016 12:43:11 PM, 0.33
right, 6-2, t, 8/8/2016 12:43:11 PM, 0.43
right, 7-1, b, 8/8/2016 12:43:12 PM, 0.40
right, 7-3, v, 8/8/2016 12:43:12 PM, 0.52
right, 7-2, p, 8/8/2016 12:43:13 PM, 0.65
right, 8-2, b, 8/8/2016 12:43:13 PM, 0.61
